IndRegistro;DataApuracao;TipoInscricaoEstab;NumeroInscricaoEstab;IndPrestacaoServicoObra;CnpjPrestador;VlrTotalBruto;VlrTotalBaseRet;VlrTotalRetPrinc;VlrTotalRetAdic;VlrTotalNRetPrinc;VlrTotalNRetAdic;IndCPRB;Serie;NumDocto;DtEmissaoNF;VlrBruto;Obs;TpServico;VlrBaseRet;VlrRetencao;VlrRetSub;VlrNRetPrinc;VlrServicos15;VlrServicos20;VlrServicos25;VlrAdicional;VlrNRetAdic;TpProcRetPrinc;NrProcRetPrinc;CodSuspPrinc;ValorPrinc;TpProcRetAdic;NrProcRetAdic;CodSuspAdic;ValorAdic;NrReciboRetificado
R-2010;08/12/2016;1;01225861000130;0;18607157000145;18.607.157.000,00;18.607.157.000,00;5.295,05;;;;0;1;0143;02/12/2016;18.607.157.000,00;;100000001;18.607.157.000,00;5.295,05;;;;;;;;;;;;;;;;
R-2010;02/02/2017;1;01225861000130;0;18607157000145;18.607.157.000,00;18.607.157.000,00;996,91;;;;0;1;152;25/01/2017;18.607.157.000,00;;100000001;18.607.157.000,00;996,91;;;;;;;;;;;;;;;;
R-2010;11/04/2017;1;01225861000130;0;18607157000145;18.607.157.000,00;18.607.157.000,00;7.811,21;;;;0;001;000000160;05/04/2017;18.607.157.000,00;;100000001;18.607.157.000,00;7.811,21;;;;;;;;;;;;;;;;
R-2010;04/05/2017;1;01225861000130;0;18607157000145;18.607.157.000,00;18.607.157.000,00;3.246,17;;;;0;1;162;25/04/2017;18.607.157.000,00;;100000001;18.607.157.000,00;3.246,17;;;;;;;;;;;;;;;;
R-2010;16/05/2017;1;01225861000130;0;18607157000145;18.607.157.000,00;18.607.157.000,00;2.374,17;;;;0;1;000,000,167;11/05/2017;18.607.157.000,00;;100000001;18.607.157.000,00;2.374,17;;;;;;;;;;;;;;;;
R-2010;16/05/2017;1;01225861000130;0;18607157000145;18.607.157.000,00;18.607.157.000,00;2.523,24;;;;0;1;000,000,166;11/05/2017;18.607.157.000,00;;100000001;18.607.157.000,00;2.523,24;;;;;;;;;;;;;;;;
R-2010;22/06/2017;1;01225861000130;0;18607157000145;18.607.157.000,00;18.607.157.000,00;3.406,03;;;;0;001;000,000,172;13/06/2017;18.607.157.000,00;;100000001;18.607.157.000,00;3.406,03;;;;;;;;;;;;;;;;
R-2010;17/05/2018;1;01225861000130;0;18509576000144;18.509.576.000,00;18.509.576.000,00;640,94;;;;0;1;000,000,697;17/05/2018;18.509.576.000,00;;100000001;18.509.576.000,00;640,94;;;;;;;;;;;;;;;;
R-2010;21/06/2018;1;01225861000130;0;18509576000144;18.509.576.000,00;18.509.576.000,00;610,64;;;;0;1;732;21/06/2018;18.509.576.000,00;;100000001;18.509.576.000,00;610,64;;;;;;;;;;;;;;;;
R-2010;16/07/2018;1;01225861000130;0;18509576000144;18.509.576.000,00;18.509.576.000,00;640,94;;;;0;1;000000746;16/07/2018;18.509.576.000,00;;100000001;18.509.576.000,00;640,94;;;;;;;;;;;;;;;;
